Date,steel_rebar,usd_mxn,coal,iron_ore,hot_rolled_coil
2021-01-04,656.0,,,,
2021-01-05,662.0,,,,
2021-01-06,651.0,,,,
2021-01-07,658.0,,,,
2021-01-08,660.0,,,,
2021-01-11,646.5,,,,
2021-01-12,633.5,,,,
2021-01-13,634.0,,,,
2021-01-14,643.5,,,,
2021-01-15,638.0,,,,
2021-01-18,640.0,,,,
2021-01-19,637.0,,,,
2021-01-20,631.5,,,,
2021-01-21,634.0,,,,
2021-01-22,632.0,,,,
2021-01-25,635.0,,,,
2021-01-26,633.0,,,,
2021-01-27,631.0,,,,
2021-01-28,631.0,,,,
2021-01-29,629.6,,,,
2021-02-01,563.0,,,,
2021-02-02,579.5,,,,
2021-02-03,580.0,,,,
2021-02-04,598.0,,,,
2021-02-05,597.5,,,,
2021-02-08,600.0,,,,
2021-02-09,598.0,,,,
2021-02-10,599.0,,,,
2021-02-11,601.5,,,,
2021-02-12,607.0,,,,
2021-02-15,614.0,,,,
2021-02-16,615.0,,,,
2021-02-17,606.0,,,,
2021-02-18,604.0,,,,
2021-02-19,604.0,,,,
2021-02-22,602.5,,,,
2021-02-23,610.0,,,,
2021-02-24,609.0,,,,
2021-02-25,607.5,,,,
2021-02-26,605.43,,,,
2021-03-01,656.5,,,,
2021-03-02,652.0,,,,
2021-03-03,650.0,,,,
2021-03-04,648.0,,,,
2021-03-05,643.5,,,,
2021-03-08,641.0,,,,
2021-03-09,638.0,,,,
2021-03-10,630.5,,,,
2021-03-11,630.5,,,,
2021-03-12,629.0,,,,
2021-03-15,634.0,,,,
2021-03-16,632.0,,,,
2021-03-17,627.5,,,,
2021-03-18,628.5,,,,
2021-03-19,624.5,,,,
2021-03-22,622.0,,,,
2021-03-23,626.5,,,,
2021-03-24,626.5,,,,
2021-03-25,626.0,,,,
2021-03-26,631.0,,,,
2021-03-29,633.0,,,,
2021-03-30,632.0,,,,
2021-03-31,628.22,,,,
2021-04-01,643.0,,,,
2021-04-06,650.0,,,,
2021-04-07,641.0,,,,
2021-04-08,636.0,,,,
2021-04-09,639.5,,,,
2021-04-12,636.0,,,,
2021-04-13,635.0,,,,
2021-04-14,639.0,,,,
2021-04-15,636.5,,,,
2021-04-16,641.0,,,,
2021-04-19,637.5,,,,
2021-04-20,637.5,,,,
2021-04-21,637.5,,,,
2021-04-22,638.0,,,,
2021-04-23,637.5,,,,
2021-04-26,639.5,,,,
2021-04-27,641.0,,,,
2021-04-28,640.0,,,,
2021-04-29,642.5,,,,
2021-04-30,639.28,,,,
2021-05-04,696.5,,,,
2021-05-05,710.0,,,,
2021-05-06,730.0,,,,
2021-05-07,710.0,,,,
2021-05-10,750.0,,,,
2021-05-11,750.0,,,,
2021-05-12,794.0,,,,
2021-05-13,780.5,,,,
2021-05-14,775.0,,,,
2021-05-17,769.5,,,,
2021-05-18,771.5,,,,
2021-05-19,756.0,,,,
2021-05-20,752.0,,,,
2021-05-21,742.0,,,,
2021-05-24,748.5,,,,
2021-05-25,745.0,,,,
2021-05-26,746.0,,,,
2021-05-27,744.0,,,,
2021-05-28,744.21,,,,
2021-06-01,755.0,,,,
2021-06-02,755.0,,,,
2021-06-03,755.0,,,,
2021-06-04,755.0,,,,
2021-06-07,715.0,,,,
2021-06-08,715.0,,,,
2021-06-09,715.0,,,,
2021-06-10,715.0,,,,
2021-06-11,715.0,,,,
2021-06-14,715.0,,,,
2021-06-15,720.0,,,,
2021-06-16,725.0,,,,
2021-06-17,725.0,,,,
2021-06-18,725.0,,,,
2021-06-21,725.0,,,,
