Date,Price
10/29/2025,545
10/28/2025,545
10/27/2025,545
10/24/2025,544
10/23/2025,543
10/22/2025,543
10/21/2025,547.5
10/20/2025,547.5
10/17/2025,547.5
10/16/2025,544
10/15/2025,542.5
10/14/2025,547.5
10/13/2025,547.5
10/10/2025,545
10/9/2025,543
10/8/2025,547.5
10/7/2025,540.5
10/6/2025,540.5
10/3/2025,545.5
10/2/2025,540.5
10/1/2025,540.5
9/30/2025,543.5
9/29/2025,540.5
9/26/2025,536.5
9/25/2025,536.5
9/24/2025,536.5
9/23/2025,536
9/22/2025,536.5
9/19/2025,540.5
9/18/2025,535.5
9/17/2025,536.5
9/16/2025,540.5
9/15/2025,540.5
9/12/2025,536.5
9/11/2025,540.5
9/10/2025,540.5
9/9/2025,540.5
9/8/2025,536.5
9/5/2025,536.5
9/4/2025,542
9/3/2025,540.5
9/2/2025,541.5
9/1/2025,541.5
8/29/2025,541.5
8/28/2025,540
8/27/2025,540
8/26/2025,540
8/22/2025,540
8/21/2025,540
8/20/2025,540.5
8/19/2025,546.5
8/18/2025,541
8/15/2025,541
8/14/2025,540.5
8/13/2025,542
8/12/2025,546.5
8/11/2025,542
8/8/2025,542
8/7/2025,544.5
8/6/2025,543.5
8/5/2025,544
8/4/2025,545.5
8/1/2025,545
7/31/2025,545
7/30/2025,539.5
7/29/2025,536
7/28/2025,539.5
7/25/2025,539.5
7/24/2025,536
7/23/2025,539.5
7/22/2025,539.5
7/21/2025,539.5
7/18/2025,539.5
7/17/2025,535.5
7/16/2025,535.5
7/15/2025,535.5
7/14/2025,535
7/11/2025,536
7/10/2025,535.5
7/9/2025,539.5
7/8/2025,539.5
7/7/2025,536
7/4/2025,539.5
7/3/2025,539.5
7/2/2025,539.5
7/1/2025,537.5
6/30/2025,536
6/27/2025,541.5
6/26/2025,541.5
6/25/2025,540.5
6/24/2025,540.5
6/23/2025,540.5
6/20/2025,540.5
6/19/2025,540.5
6/18/2025,540.5
6/17/2025,540.5
6/16/2025,540.5
6/13/2025,541.5
6/12/2025,541.5
6/11/2025,541
6/10/2025,549.5
6/9/2025,546
6/6/2025,546
6/5/2025,549.5
6/4/2025,546
6/3/2025,543.5
6/2/2025,549.5
5/30/2025,549.5
5/29/2025,550.5
5/28/2025,550.5
5/27/2025,550.5
5/23/2025,550.5
5/22/2025,550.5
5/21/2025,550.5
5/20/2025,547.5
5/19/2025,549.5
5/16/2025,549
5/15/2025,548.5
5/14/2025,550.5
5/13/2025,544.5
5/12/2025,544.5
5/9/2025,539
5/8/2025,541.5
5/7/2025,541.5
5/6/2025,542
5/2/2025,539.5
5/1/2025,539.5
4/30/2025,539
4/29/2025,554.5
4/28/2025,554.5
4/25/2025,554.5
4/24/2025,550
4/23/2025,553
4/22/2025,559
4/17/2025,566.5
4/16/2025,566.5
4/15/2025,566.5
4/14/2025,567
4/11/2025,565
4/10/2025,561.5
4/9/2025,561.5
4/8/2025,560
4/7/2025,566.5
4/4/2025,565.5
4/3/2025,571
4/2/2025,571
4/1/2025,572
3/31/2025,574.5
3/28/2025,573
3/27/2025,573.5
3/26/2025,573.5
3/25/2025,573.5
3/24/2025,573.5
3/21/2025,573.5
3/20/2025,575
3/19/2025,573.5
3/18/2025,574
3/17/2025,574
3/14/2025,576
3/13/2025,572.5
3/12/2025,572.5
3/11/2025,572.5
3/10/2025,572.5
3/7/2025,572.5
3/6/2025,572.5
3/5/2025,572
3/4/2025,571.5
3/3/2025,573.5
2/28/2025,573.5
2/27/2025,564
2/26/2025,566.5
2/25/2025,568.5
2/24/2025,568
2/21/2025,568.5
2/20/2025,568.5
2/19/2025,568
2/18/2025,568.5
2/17/2025,568.5
2/14/2025,568
2/13/2025,568.5
2/12/2025,567.5
2/11/2025,568.5
2/10/2025,569
2/7/2025,566.5
2/6/2025,569
2/5/2025,564
2/4/2025,571
2/3/2025,569
1/31/2025,576.5
1/30/2025,557
1/29/2025,559.5
1/28/2025,559.5
1/27/2025,559
1/24/2025,558
1/23/2025,558
1/22/2025,557
1/21/2025,555.5
1/20/2025,559
1/17/2025,556
1/16/2025,560
1/15/2025,560
1/14/2025,558.5
1/13/2025,556.5
1/10/2025,560
1/9/2025,561
1/8/2025,560
1/7/2025,561.5
1/6/2025,566
1/3/2025,569.5
1/2/2025,574
12/31/2024,570
12/30/2024,564
12/27/2024,564
12/24/2024,564
12/23/2024,563.5
12/20/2024,565.5
12/19/2024,563
12/18/2024,565.5
12/17/2024,565.5
12/16/2024,567
12/13/2024,561
12/12/2024,564
12/11/2024,557
12/10/2024,558.5
12/9/2024,561
12/6/2024,563
12/5/2024,563.5
12/4/2024,563
12/3/2024,566.5
12/2/2024,566
11/29/2024,563
11/28/2024,576.5
11/27/2024,576.5
11/26/2024,576.5
11/25/2024,578.5
11/22/2024,578.5
11/21/2024,578.5
11/20/2024,577
11/19/2024,581
11/18/2024,581.5
11/15/2024,586
11/14/2024,587
11/13/2024,586.5
11/12/2024,588
11/11/2024,585
11/8/2024,590
11/7/2024,594
11/6/2024,596.5
11/5/2024,597.5
11/4/2024,596
11/1/2024,594
10/31/2024,595
10/30/2024,592
10/29/2024,593.5
10/28/2024,595
10/25/2024,595.5
10/24/2024,592.5
10/23/2024,588
10/22/2024,589.5
10/21/2024,592.5
10/18/2024,592.5
10/17/2024,592.5
10/16/2024,593
10/15/2024,595.5
10/14/2024,595
10/11/2024,595.5
10/10/2024,599.5
10/9/2024,599.5
10/8/2024,599
10/7/2024,609
10/4/2024,605.5
10/3/2024,599
10/2/2024,586
10/1/2024,589
9/30/2024,595
9/27/2024,581
9/26/2024,582
9/25/2024,579
9/24/2024,578
9/23/2024,578
9/20/2024,577
9/19/2024,578
9/18/2024,577
9/17/2024,577
9/16/2024,580.5
9/13/2024,580
9/12/2024,577
9/11/2024,578.5
9/10/2024,575
9/9/2024,575.5
9/6/2024,575.5
9/5/2024,574.5
9/4/2024,573
9/3/2024,569
9/2/2024,569
8/30/2024,568.5
8/29/2024,570.5
8/28/2024,568
8/27/2024,568
8/23/2024,562.5
8/22/2024,568
8/21/2024,569
8/20/2024,569.5
8/19/2024,568.5
8/16/2024,565.5
8/15/2024,571.5
8/14/2024,570
8/13/2024,571.5
8/12/2024,574
8/9/2024,570.5
8/8/2024,571
8/7/2024,571
8/6/2024,574.5
8/5/2024,572.5
8/2/2024,570
8/1/2024,571.5
7/31/2024,577.5
7/30/2024,574.5
7/29/2024,579
7/26/2024,577.5
7/25/2024,577
7/24/2024,573
7/23/2024,570
7/22/2024,574.5
7/19/2024,575
